No 	 Layer Name 	 Neuron Idx 	 Mask 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
12.00 	 layer4.1.bn2 	 188 	 0.0 	 0.0122 	 0.9986 	 0.2104 	 0.9347
14.00 	 layer4.1.bn2 	 12 	 0.05 	 0.0139 	 0.9982 	 0.2092 	 0.9340
18.00 	 layer3.0.bn2 	 230 	 0.1 	 0.0601 	 0.9876 	 0.2065 	 0.9338
21.00 	 bn1 	 5 	 0.15000000000000002 	 0.9935 	 0.4796 	 0.2074 	 0.9340
24.00 	 layer4.0.bn2 	 82 	 0.2 	 2.8242 	 0.0661 	 0.2297 	 0.9280
28.00 	 layer3.0.bn1 	 106 	 0.25 	 3.2791 	 0.0424 	 0.2292 	 0.9270
32.00 	 layer4.1.bn2 	 152 	 0.30000000000000004 	 4.2908 	 0.0172 	 0.2295 	 0.9277
41.00 	 layer3.0.bn2 	 97 	 0.35000000000000003 	 5.5764 	 0.0112 	 0.2936 	 0.9094
49.00 	 layer4.1.bn2 	 451 	 0.4 	 6.3171 	 0.0070 	 0.2963 	 0.9070
57.00 	 layer4.1.bn2 	 352 	 0.45 	 6.6227 	 0.0059 	 0.2897 	 0.9077
68.00 	 layer2.0.bn1 	 50 	 0.5 	 6.7961 	 0.0060 	 0.3132 	 0.9012
82.00 	 layer4.1.bn2 	 86 	 0.55 	 7.0985 	 0.0034 	 0.3194 	 0.8976
107.00 	 layer4.1.bn2 	 132 	 0.6000000000000001 	 7.2623 	 0.0026 	 0.3248 	 0.8941
145.00 	 layer4.1.bn2 	 60 	 0.65 	 7.0780 	 0.0021 	 0.5540 	 0.8201
204.00 	 layer4.1.bn2 	 271 	 0.7000000000000001 	 7.1320 	 0.0011 	 0.5561 	 0.8167
263.00 	 bn1 	 61 	 0.75 	 6.9168 	 0.0006 	 0.6570 	 0.7844
365.00 	 layer2.0.bn2 	 80 	 0.8 	 6.8394 	 0.0000 	 0.8824 	 0.7258
524.00 	 layer2.0.bn2 	 33 	 0.8500000000000001 	 6.8990 	 0.0000 	 1.2204 	 0.6177
753.00 	 layer3.0.bn2 	 113 	 0.9 	 5.9777 	 0.0000 	 2.0017 	 0.2519
